wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689862475000,1689862476000,8,4726008679561341611,1689862476871
1689862476000,1689862477000,3,4755576185603227648,1689862477637
1689862476000,1689862477000,11,4726581511418019840,1689862477750
1689862476000,1689862477000,10,4726512221683712000,1689862477755
1689862476000,1689862477000,6,4726444708175631701,1689862477760
1689862476000,1689862477000,9,4726021488853909504,1689862477839
1689862476000,1689862477000,4,4751174308593664000,1689862477864
1689862476000,1689862477000,5,4726510362980690603,1689862477865
1689862476000,1689862477000,8,4726008779766060373,1689862477884
1689862477000,1689862478000,3,4755576186978085547,1689862478649
1689862477000,1689862478000,6,4726444791793276245,1689862478776
1689862477000,1689862478000,10,4726512313511007573,1689862478782
1689862477000,1689862478000,11,4726581607618576384,1689862478787
1689862477000,1689862478000,9,4726021566431756288,1689862478827
1689862477000,1689862478000,8,4726008858842671787,1689862478863
1689862477000,1689862478000,5,4726510439249914539,1689862478889
1689862477000,1689862478000,4,4751174310862782464,1689862478926
1689862478000,1689862479000,3,4755576188537842347,1689862479665
1689862478000,1689862479000,6,4726444886808242859,1689862479777
1689862478000,1689862479000,10,4726512394175862101,1689862479788
1689862478000,1689862479000,11,4726581689099922091,1689862479803
1689862478000,1689862479000,9,4726021643495101781,1689862479857
1689862478000,1689862479000,5,4726510552641525077,1689862479910
1689862478000,1689862479000,8,4726008940693116245,1689862479920
1689862478000,1689862479000,4,4751174314412911275,1689862479931
1689862479000,1689862480000,3,4755576189962857131,1689862480677
1689862479000,1689862480000,6,4726444977304545963,1689862480812
1689862479000,1689862480000,10,4726512504033072469,1689862480821
1689862479000,1689862480000,11,4726581797536661504,1689862480832
1689862479000,1689862480000,9,4726021747580949845,1689862480888
1689862479000,1689862480000,5,4726510632199083349,1689862480931
1689862479000,1689862480000,8,4726009036602867712,1689862480938
1689862479000,1689862480000,4,4751174317042739883,1689862480941
1689862480000,1689862481000,3,4755576191242469376,1689862481692
1689862480000,1689862481000,6,4726445055441633280,1689862481816
1689862480000,1689862481000,11,4726581856279287125,1689862481819
1689862480000,1689862481000,10,4726512564252093099,1689862481824
1689862480000,1689862481000,9,4726021805965661525,1689862481901
1689862480000,1689862481000,8,4726009106105281195,1689862481960
1689862480000,1689862481000,4,4751174319260128597,1689862481962
1689862480000,1689862481000,5,4726510702786423467,1689862481969
1689862481000,1689862482000,3,4755576192722709163,1689862482721
1689862481000,1689862482000,6,4726445149080868181,1689862482829
1689862481000,1689862482000,11,4726581964973277184,1689862482845
1689862481000,1689862482000,10,4726512681558387371,1689862482863
1689862481000,1689862482000,9,4726021913943823701,1689862482907
1689862481000,1689862482000,5,4726510823649487531,1689862482974
1689862481000,1689862482000,8,4726009197440445099,1689862482984
1689862481000,1689862482000,4,4751174322882609152,1689862483017
1689862482000,1689862483000,3,4755576194060167851,1689862483768
1689862482000,1689862483000,6,4726445224824406016,1689862483847
1689862482000,1689862483000,10,4726512764974705323,1689862483864
1689862482000,1689862483000,11,4726582043356430336,1689862483868
1689862482000,1689862483000,9,4726021990045275477,1689862483913
1689862482000,1689862483000,5,4726510888208214699,1689862483986
1689862482000,1689862483000,4,4751174324718316203,1689862483991
1689862482000,1689862483000,8,4726009285979406336,1689862484008
1689862483000,1689862484000,3,4755576195751870464,1689862484710
1689862483000,1689862484000,6,4726445321964486656,1689862484884
1689862483000,1689862484000,11,4726582112478560256,1689862484892
1689862483000,1689862484000,10,4726512837720713899,1689862484902
1689862483000,1689862484000,9,4726022075452489728,1689862484926
1689862483000,1689862484000,5,4726511008187678720,1689862485010
1689862483000,1689862484000,4,4751174328348835840,1689862485014
1689862483000,1689862484000,8,4726009398856515584,1689862485029
1689862484000,1689862485000,3,4755576196990763008,1689862485755
1689862484000,1689862485000,10,4726512955127671467,1689862485900
1689862484000,1689862485000,6,4726445416218886144,1689862485912
1689862484000,1689862485000,9,4726022171843188053,1689862485949
1689862484000,1689862485000,11,4726582237949766315,1689862485990
1689862484000,1689862485000,8,4726009471076838059,1689862486016
1689862484000,1689862485000,4,4751174330464163157,1689862486032
1689862484000,1689862485000,5,4726511080251413845,1689862486034
1689862485000,1689862486000,3,4755576198223364096,1689862486826
1689862485000,1689862486000,10,4726513029808652288,1689862486915
1689862485000,1689862486000,6,4726445495284312747,1689862486933
1689862485000,1689862486000,9,4726022249812503211,1689862486960
1689862485000,1689862486000,11,4726582314084772523,1689862486966
1689862485000,1689862486000,4,4751174333488605867,1689862487035
1689862485000,1689862486000,8,4726009551193636864,1689862487057
1689862485000,1689862486000,5,4726511181608168107,1689862487070
1689862486000,1689862487000,3,4755576199932717739,1689862487840
1689862486000,1689862487000,6,4726445615062450176,1689862487948
1689862486000,1689862487000,10,4726513125371674624,1689862487953
1689862486000,1689862487000,9,4726022365687141717,1689862487976
1689862486000,1689862487000,11,4726582402411222357,1689862488000
1689862486000,1689862487000,5,4726511283993924949,1689862488034
1689862486000,1689862487000,4,4751174336289002837,1689862488066
1689862486000,1689862487000,8,4726009667303156395,1689862488101
1689862487000,1689862488000,3,4755576201055742635,1689862488851
1689862487000,1689862488000,10,4726513200936255488,1689862488970
1689862487000,1689862488000,9,4726022412898227541,1689862489025
1689862487000,1689862488000,11,4726582477483671552,1689862489028
1689862487000,1689862488000,6,4726445684900407979,1689862489033
1689862487000,1689862488000,8,4726009727264926379,1689862489064
1689862487000,1689862488000,5,4726511356203062613,1689862489087
1689862487000,1689862488000,4,4751174338794050901,1689862489098
1689862488000,1689862489000,3,4755576202559051093,1689862489876
1689862488000,1689862489000,10,4726513315021324288,1689862489951
1689862488000,1689862489000,6,4726445787465121792,1689862490021
1689862488000,1689862489000,11,4726582592754330283,1689862490057
1689862488000,1689862489000,9,4726022521413260629,1689862490060
1689862488000,1689862489000,8,4726009831037599744,1689862490078
1689862488000,1689862489000,4,4751174342387520853,1689862490110
1689862488000,1689862489000,5,4726511481182137003,1689862490113
1689862489000,1689862490000,3,4755576203829575680,1689862490897
1689862489000,1689862490000,10,4726513387319940437,1689862490980
1689862489000,1689862490000,11,4726582671025635328,1689862491065
1689862489000,1689862490000,8,4726009910472125099,1689862491091
1689862489000,1689862490000,6,4726445862694158336,1689862491093
1689862489000,1689862490000,4,4751174344389601963,1689862491113
1689862489000,1689862490000,5,4726511547015932587,1689862491121
1689862489000,1689862490000,9,4726022599527978325,1689862491124
1689862490000,1689862491000,4,4751174347002653355,1689862491626
1689862490000,1689862491000,5,4726511634995653291,1689862491633
1689862490000,1689862491000,3,4755576205481082880,1689862491908
1689862490000,1689862491000,10,4726513453712976555,1689862491975
1689862490000,1689862491000,6,4726445973267196587,1689862492093
1689862490000,1689862491000,8,4726010004335056213,1689862492095
