1701185873.229482, 111
1701185874.819770, 199
1701185876.196570, 285
1701185877.555911, 352
1701185879.047580, 438
1701185880.606324, 537
1701185882.024665, 622
1701185883.410112, 699
1701185884.843493, 778
1701185886.300550, 861
1701185887.711429, 945
1701185889.331660, 1026
1701185891.398595, 1158
1701185892.881417, 1241
1701185894.306637, 1328
1701185895.718215, 1403
1701185897.160827, 1481
1701185898.677176, 1586
1701185900.150712, 1660
1701185901.593508, 1735
1701185903.019197, 1822
1701185904.435625, 1908
1701185906.045648, 2016
1701185907.651302, 2107
1701185909.161299, 2189
1701185910.775094, 2281
1701185912.222714, 2364
1701185913.696088, 2444
1701185915.362575, 2538
1701185916.762743, 2617
1701185918.306557, 2715
1701185919.876334, 2790
1701185921.433890, 2901
1701185923.060671, 2993
1701185924.503700, 3084
1701185925.942773, 3162
1701185927.376474, 3242
1701185929.457972, 3350
1701185931.011640, 3451
1701185932.657622, 3553
1701185934.221204, 3640
1701185935.977836, 3719
1701185938.280362, 3859
1701185940.023607, 3955
1701185941.690828, 4063
1701185943.538974, 4165
1701185945.081698, 4260
1701185946.544238, 4343
1701185948.500272, 4440
1701185950.214169, 4555
1701185952.376379, 4682
1701185954.143612, 4779
1701185955.740274, 4879
1701185957.805392, 4987
1701185959.347102, 5088
1701185960.951210, 5168
1701185962.454825, 5263
1701185964.039549, 5357
1701185965.519812, 5442
1701185967.161470, 5538
1701185968.619109, 5624
1701185970.401232, 5731
1701185971.892735, 5817
1701185974.857718, 5988
1701185976.469051, 6076
1701185978.042758, 6171
1701185979.522647, 6263
1701185981.064142, 6355
1701185982.646709, 6437
1701185984.232833, 6526
1701185985.761405, 6615
1701185987.385730, 6717
1701185990.522926, 6847
1701185992.327527, 6992
1701185995.944685, 7199
1701185998.286486, 7343
1701185999.864836, 7430
1701186001.397212, 7522
1701186003.179844, 7619
1701186005.300141, 7734
1701186007.230736, 7819
1701186009.030536, 7947
1701186011.003797, 8059
1701186012.606375, 8145
1701186014.408281, 8260
1701186016.056157, 8360
1701186017.768822, 8469
1701186019.816683, 8591
1701186021.313241, 8670
1701186023.016344, 8768
1701186024.909646, 8878
1701186027.318607, 9007
1701186028.862253, 9092
1701186030.392042, 9199
1701186032.679024, 9328
1701186034.438139, 9423
1701186036.097100, 9515
1701186037.633105, 9607
1701186039.301357, 9712
1701186040.764191, 9783
1701186042.379942, 9875
1701186044.323569, 9993
1701186045.951514, 10096
1701186047.620044, 10204
1701186049.537021, 10303
1701186051.374065, 10412
1701186053.161720, 10504
1701186055.132028, 10639
1701186056.875718, 10729
1701186058.541276, 10815
1701186060.297414, 10927
1701186061.888855, 11024
1701186063.644493, 11122
1701186065.414775, 11241
1701186067.135035, 11330
1701186068.873516, 11427
1701186070.577000, 11530
1701186073.349500, 11687
1701186075.159320, 11800
1701186076.849722, 11890
1701186078.669967, 11992
1701186080.656177, 12110
1701186082.245551, 12198
1701186084.266007, 12316
1701186085.917977, 12416
1701186087.663566, 12518
1701186089.423922, 12614
1701186091.035830, 12704
1701186092.709989, 12795
1701186094.323976, 12898
1701186096.186922, 13003
1701186098.735893, 13155
1701186100.703126, 13265
1701186102.356597, 13372
1701186104.047901, 13459
1701186106.349077, 13598
1701186108.565477, 13728
1701186111.192394, 13868
1701186113.505037, 14008
1701186115.230135, 14102
1701186116.963916, 14208
1701186118.786791, 14311
1701186121.794472, 14472
1701186123.732699, 14586
1701186125.846521, 14721
1701186127.352881, 14802
1701186129.090198, 14898
1701186130.923241, 14992
1701186132.610121, 15090
1701186135.061499, 15246
1701186138.558535, 15448
1701186144.627011, 15788
1701186147.692671, 15960
1701186150.454761, 16124
1701186153.404316, 16305
1701186157.324600, 16541
1701186159.586048, 16665
1701186161.988990, 16815
1701186163.727026, 16913
1701186165.465669, 17010
1701186167.419151, 17122
1701186169.109634, 17220
1701186171.168282, 17345
