1701184752.769881, 78
1701184754.278215, 162
1701184755.769420, 252
1701184757.188257, 330
1701184758.690039, 415
1701184760.180681, 500
1701184761.657067, 584
1701184763.129295, 666
1701184764.610274, 746
1701184766.162142, 836
1701184767.609506, 915
1701184769.025204, 999
1701184770.400845, 1077
1701184773.489694, 1245
1701184774.986537, 1335
1701184776.420331, 1413
1701184777.893056, 1497
1701184779.376172, 1581
1701184780.856009, 1666
1701184782.367207, 1750
1701184783.834571, 1833
1701184785.217118, 1912
1701184786.881677, 2006
1701184788.357707, 2090
1701184790.922954, 2235
1701184792.430961, 2319
1701184793.890581, 2400
1701184796.760221, 2562
1701184798.237513, 2646
1701184799.859171, 2736
1701184801.221047, 2814
1701184802.896190, 2909
1701184804.441997, 2995
1701184805.999678, 3079
1701184807.508166, 3169
1701184808.959342, 3253
1701184810.427378, 3337
1701184812.466137, 3451
1701184814.116328, 3547
1701184815.605826, 3625
1701184816.965142, 3703
1701184818.424953, 3787
1701184819.845766, 3868
1701184821.235381, 3947
1701184822.913364, 4041
1701184824.392913, 4125
1701184825.879033, 4209
1701184827.434769, 4294
1701184829.136690, 4389
1701184830.706705, 4479
1701184832.334462, 4571
1701184833.816296, 4655
1701184835.300406, 4739
1701184836.788666, 4823
1701184839.059928, 4954
1701184840.667610, 5044
1701184843.693417, 5214
1701184845.171080, 5298
1701184846.774741, 5388
1701184848.275648, 5472
1701184849.841481, 5557
1701184851.419575, 5648
1701184853.045580, 5738
1701184854.549809, 5822
1701184855.979004, 5907
1701184857.486123, 5991
1701184859.040403, 6075
1701184860.740603, 6177
1701184863.895054, 6351
1701184865.439755, 6441
1701184866.915405, 6521
1701184868.465613, 6611
1701184869.997546, 6695
1701184871.533321, 6784
1701184873.026366, 6868
1701184874.799031, 6968
1701184876.299176, 7052
1701184877.785319, 7135
1701184879.335808, 7224
1701184881.022839, 7317
1701184882.496418, 7401
1701184883.983324, 7485
1701184885.603302, 7579
1701184887.313109, 7675
1701184888.770254, 7755
1701184890.709807, 7866
1701184892.632723, 7973
1701184894.296209, 8069
1701184895.753544, 8153
1701184897.319086, 8239
1701184898.887155, 8326
1701184900.410275, 8412
1701184901.904395, 8496
1701184903.482511, 8587
1701184905.082578, 8677
1701184906.637042, 8765
1701184908.128734, 8847
1701184909.970855, 8954
1701184911.559471, 9044
1701184913.182896, 9135
1701184914.847147, 9226
1701184916.471702, 9317
1701184918.040459, 9407
1701184919.554690, 9495
1701184921.186327, 9581
1701184922.820679, 9678
1701184924.323932, 9762
1701184925.810024, 9846
1701184927.546233, 9942
1701184929.180511, 10037
1701184930.905529, 10133
1701184934.051418, 10309
1701184935.937762, 10416
1701184937.649880, 10512
1701184939.765125, 10632
1701184941.421980, 10723
1701184943.229097, 10827
1701184945.035980, 10928
1701184946.685084, 11025
1701184948.430394, 11121
1701184950.588861, 11241
1701184953.943314, 11430
1701184955.535952, 11523
1701184957.834964, 11650
1701184959.604913, 11752
1701184961.331082, 11849
1701184963.142609, 11952
1701184964.854686, 12047
1701184966.846308, 12148
1701184968.633312, 12262
1701184970.356700, 12357
1701184972.266655, 12467
1701184973.950666, 12561
1701184975.739024, 12661
1701184977.484283, 12757
1701184979.713830, 12885
1701184983.396727, 13093
1701184985.483988, 13211
1701184987.247777, 13313
1701184988.829821, 13400
1701184990.742089, 13508
1701184992.423784, 13603
1701184994.016274, 13693
1701184995.621736, 13783
1701184997.376445, 13881
1701184999.446857, 13997
1701185001.251692, 14102
1701185002.848591, 14191
1701185005.008707, 14313
1701185006.933074, 14423
1701185009.052095, 14542
1701185010.938549, 14645
1701185012.731289, 14748
1701185014.486141, 14848
1701185016.431196, 14959
1701185018.557180, 15076
1701185020.329239, 15176
1701185023.230921, 15341
1701185026.611940, 15532
1701185028.354592, 15630
1701185029.985304, 15720
1701185031.744117, 15819
1701185035.475608, 16030
1701185037.410472, 16139
1701185039.172763, 16241
1701185040.941262, 16337
1701185042.900729, 16449
1701185045.014874, 16569
1701185047.523039, 16709
1701185049.576088, 16827
1701185051.711510, 16947
