wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689855512000,1689855513000,5,4726248527189333333,1689855514829
1689855512000,1689855513000,6,4726184434435048031,1689855514829
1689855512000,1689855513000,8,4725750977616354418,1689855514829
1689855512000,1689855513000,9,4725764081884691266,1689855514829
1689855512000,1689855513000,10,4726250934273679663,1689855514829
1689855512000,1689855513000,11,4726327766235266465,1689855514829
1689855513000,1689855514000,1,4757899616325730304,1689855515844
1689855513000,1689855514000,3,4755571946392474965,1689855515844
1689855513000,1689855514000,4,4751166062381935275,1689855515844
1689855513000,1689855514000,5,4726248720501387112,1689855515844
1689855513000,1689855514000,6,4726184635779038625,1689855515844
1689855513000,1689855514000,8,4725751169619785349,1689855515844
1689855513000,1689855514000,9,4725764272113465572,1689855515844
1689855513000,1689855514000,10,4726251126324335351,1689855515844
1689855513000,1689855514000,11,4726327955832720346,1689855515844
1689855514000,1689855515000,1,4757899623937343488,1689855516858
1689855514000,1689855515000,3,4755571948807161022,1689855516858
1689855514000,1689855515000,4,4751166067574017593,1689855516858
1689855514000,1689855515000,5,4726248884264413867,1689855516858
1689855514000,1689855515000,6,4726184799790616728,1689855516858
1689855514000,1689855515000,8,4725751340628083902,1689855516858
1689855514000,1689855515000,9,4725764442368653540,1689855516858
1689855514000,1689855515000,10,4726251295262201173,1689855516858
1689855514000,1689855515000,11,4726328129741613132,1689855516858
1689855515000,1689855516000,1,4757899632901488640,1689855517872
1689855515000,1689855516000,3,4755571951926674622,1689855517872
1689855515000,1689855516000,4,4751166073902212589,1689855517872
1689855515000,1689855516000,5,4726249086704515906,1689855517872
1689855515000,1689855516000,6,4726184990323245056,1689855517872
1689855515000,1689855516000,8,4725751547897538636,1689855517872
1689855515000,1689855516000,9,4725764646053997833,1689855517872
1689855515000,1689855516000,10,4726251498025419966,1689855517872
1689855515000,1689855516000,11,4726328332144432469,1689855517872
1689855516000,1689855517000,1,4757899640487149568,1689855518883
1689855516000,1689855517000,3,4755571954556309049,1689855518883
1689855516000,1689855517000,4,4751166079291038834,1689855518883
1689855516000,1689855517000,5,4726249254628292229,1689855518883
1689855516000,1689855517000,6,4726185151190027226,1689855518883
1689855516000,1689855517000,8,4725751714993638969,1689855518883
1689855516000,1689855517000,9,4725764814435108636,1689855518883
1689855516000,1689855517000,10,4726251663906104206,1689855518883
1689855516000,1689855517000,11,4726328497821304604,1689855518883
1689855517000,1689855518000,1,4757899646974164992,1689855519897
1689855517000,1689855518000,3,4755571957485603195,1689855519897
1689855517000,1689855518000,4,4751166085288272175,1689855519897
1689855517000,1689855518000,5,4726249447884421954,1689855519897
1689855517000,1689855518000,6,4726185350227461310,1689855519897
1689855517000,1689855518000,8,4725751905908414995,1689855519897
1689855517000,1689855518000,9,4725765008019326142,1689855519897
1689855517000,1689855518000,10,4726251862272449650,1689855519897
1689855517000,1689855518000,11,4726328704777584640,1689855519897
1689855518000,1689855519000,1,4757899656062304256,1689855520913
1689855518000,1689855519000,3,4755571960453073275,1689855520913
1689855518000,1689855519000,4,4751166091129306529,1689855520913
1689855518000,1689855519000,5,4726249632011260663,1689855520913
1689855518000,1689855519000,6,4726185532805825119,1689855520913
1689855518000,1689855519000,8,4725752084157014319,1689855520913
1689855518000,1689855519000,9,4725765177637601280,1689855520913
1689855518000,1689855519000,10,4726252029707201195,1689855520913
1689855518000,1689855519000,11,4726328876553906859,1689855520913
1689855519000,1689855520000,1,4757899663323693056,1689855521922
1689855519000,1689855520000,3,4755571963243023322,1689855521922
1689855519000,1689855520000,4,4751166096534754645,1689855521922
1689855519000,1689855520000,5,4726249807351809214,1689855521922
1689855519000,1689855520000,6,4726185712535790478,1689855521922
1689855519000,1689855520000,8,4725752262128478891,1689855521922
1689855519000,1689855520000,9,4725765357765870175,1689855521922
1689855519000,1689855520000,10,4726252206605545320,1689855521922
1689855519000,1689855520000,11,4726329062984816564,1689855521922
1689855520000,1689855521000,1,4757899671860805632,1689855522938
1689855520000,1689855521000,3,4755571966332361235,1689855522938
1689855520000,1689855521000,4,4751166102844696652,1689855522938
1689855520000,1689855521000,5,4726250008171356463,1689855522938
1689855520000,1689855521000,6,4726185914530985605,1689855522938
1689855520000,1689855521000,8,4725752444964093345,1689855522938
1689855520000,1689855521000,9,4725765545919240723,1689855522938
1689855520000,1689855521000,10,4726252394883191543,1689855522938
1689855520000,1689855521000,11,4726329258189588859,1689855522938
1689855521000,1689855522000,1,4757899679930777600,1689855523955
1689855521000,1689855522000,3,4755571968985530368,1689855523955
1689855521000,1689855522000,4,4751166108076314169,1689855523955
1689855521000,1689855522000,5,4726250176696627048,1689855523955
1689855521000,1689855522000,6,4726186077965924580,1689855523955
1689855521000,1689855522000,8,4725752617160467342,1689855523955
1689855521000,1689855522000,9,4725765716318588473,1689855523955
1689855521000,1689855522000,10,4726252568454054495,1689855523955
1689855521000,1689855522000,11,4726329430925319282,1689855523955
1689855522000,1689855523000,1,4757899688158822400,1689855524967
1689855522000,1689855523000,3,4755571972110481029,1689855524967
1689855522000,1689855523000,4,4751166114336312889,1689855524967
1689855522000,1689855523000,5,4726250376024866209,1689855524967
1689855522000,1689855523000,6,4726186275418843819,1689855524967
1689855522000,1689855523000,8,4725752817470484328,1689855524967
