wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689848523000,1689848524000,6,4726022929410298615,1689848524278
1689848524000,1689848525000,3,4755569376542346202,1689848525231
1689848524000,1689848525000,4,4751161006736054196,1689848525231
1689848524000,1689848525000,5,4726082391211789274,1689848525231
1689848524000,1689848525000,6,4726023097022764373,1689848525231
1689848524000,1689848525000,8,4725591020057385491,1689848525272
1689848524000,1689848525000,9,4725600081491399415,1689848525272
1689848524000,1689848525000,10,4726092692723160405,1689848525272
1689848524000,1689848525000,11,4726170731590441491,1689848525272
1689848525000,1689848526000,3,4755569379382006519,1689848526246
1689848525000,1689848526000,4,4751161012455453734,1689848526246
1689848525000,1689848526000,5,4726082577267386444,1689848526246
1689848525000,1689848526000,6,4726023278356507307,1689848526246
1689848525000,1689848526000,8,4725591210671414386,1689848526284
1689848525000,1689848526000,9,4725600271998551230,1689848526284
1689848525000,1689848526000,10,4726092880068739072,1689848526284
1689848525000,1689848526000,11,4726170922781109513,1689848526284
1689848526000,1689848527000,3,4755569382558803437,1689848527250
1689848526000,1689848527000,4,4751161018656421509,1689848527250
1689848526000,1689848527000,5,4726082774018148124,1689848527250
1689848526000,1689848527000,6,4726023474781666721,1689848527250
1689848526000,1689848527000,8,4725591402326873429,1689848527264
1689848526000,1689848527000,9,4725600457489936839,1689848527264
1689848526000,1689848527000,10,4726093060311962965,1689848527264
1689848526000,1689848527000,11,4726171107780363454,1689848527264
1689848527000,1689848528000,8,4725591573340143009,1689848528227
1689848527000,1689848528000,9,4725600631833794484,1689848528227
1689848527000,1689848528000,10,4726093224647900577,1689848528227
1689848527000,1689848528000,11,4726171284204595883,1689848528227
1689848527000,1689848528000,3,4755569385197370178,1689848528251
1689848527000,1689848528000,4,4751161023843610472,1689848528251
1689848527000,1689848528000,5,4726082940540094843,1689848528251
1689848527000,1689848528000,6,4726023638644114015,1689848528251
1689848528000,1689848529000,8,4725591773158028326,1689848529277
1689848528000,1689848529000,9,4725600837639281778,1689848529277
1689848528000,1689848529000,10,4726093431097135863,1689848529277
1689848528000,1689848529000,11,4726171484646345083,1689848529277
1689848528000,1689848529000,3,4755569388401080548,1689848529302
1689848528000,1689848529000,4,4751161030240778468,1689848529302
1689848528000,1689848529000,5,4726083143748220549,1689848529302
1689848528000,1689848529000,6,4726023843303779593,1689848529302
1689848529000,1689848530000,8,4725591945724743832,1689848530240
1689848529000,1689848530000,9,4725601011011303652,1689848530240
1689848529000,1689848530000,10,4726093597469951772,1689848530240
1689848529000,1689848530000,11,4726171657424329235,1689848530240
1689848529000,1689848530000,3,4755569391180855524,1689848530287
1689848529000,1689848530000,4,4751161035879787179,1689848530287
1689848529000,1689848530000,5,4726083306251091968,1689848530287
1689848529000,1689848530000,6,4726024012256558497,1689848530287
1689848530000,1689848531000,3,4755569393910065835,1689848531271
1689848530000,1689848531000,4,4751161041596157497,1689848531271
1689848530000,1689848531000,5,4726083489207253826,1689848531271
1689848530000,1689848531000,6,4726024200907031742,1689848531271
1689848530000,1689848531000,8,4725592139547570631,1689848531299
1689848530000,1689848531000,9,4725601202492776751,1689848531299
1689848530000,1689848531000,10,4726093794822207716,1689848531299
1689848530000,1689848531000,11,4726171853623306923,1689848531299
1689848531000,1689848532000,3,4755569396881691383,1689848532281
1689848531000,1689848532000,4,4751161047816543346,1689848532281
1689848531000,1689848532000,5,4726083678690374087,1689848532281
1689848531000,1689848532000,6,4726024399014883783,1689848532281
1689848531000,1689848532000,8,4725592328941212407,1689848532283
1689848531000,1689848532000,9,4725601391270011183,1689848532283
1689848531000,1689848532000,10,4726093986107325250,1689848532283
1689848531000,1689848532000,11,4726172041088190236,1689848532283
1689848532000,1689848533000,8,4725592504522855765,1689848533294
1689848532000,1689848533000,9,4725601569456472671,1689848533294
1689848532000,1689848533000,10,4726094164164540037,1689848533294
1689848532000,1689848533000,11,4726172217092370887,1689848533294
1689848532000,1689848533000,3,4755569399548220151,1689848533324
1689848532000,1689848533000,4,4751161053009946093,1689848533324
1689848532000,1689848533000,5,4726083850993625164,1689848533324
