wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689847659000,1689847660000,6,4725950859627918981,1689847661152
1689847659000,1689847660000,8,4725519711726973990,1689847661152
1689847659000,1689847660000,9,4725528714398478184,1689847661152
1689847659000,1689847660000,10,4726021516045426991,1689847661152
1689847659000,1689847660000,11,4726100394375002340,1689847661152
1689847660000,1689847661000,1,4757893117856579584,1689847662168
1689847660000,1689847661000,3,4755568209989856521,1689847662168
1689847660000,1689847661000,4,4751158724275276155,1689847662168
1689847660000,1689847661000,5,4726009277725016064,1689847662168
1689847660000,1689847661000,6,4725951023129966820,1689847662168
1689847660000,1689847661000,8,4725519868197504190,1689847662168
1689847660000,1689847661000,9,4725528874023124992,1689847662168
1689847660000,1689847661000,10,4726021676594684814,1689847662168
1689847660000,1689847661000,11,4726100565266481759,1689847662168
1689847661000,1689847662000,1,4757893125895225344,1689847663182
1689847661000,1689847662000,3,4755568212904936638,1689847663182
1689847661000,1689847662000,4,4751158730215575704,1689847663182
1689847661000,1689847662000,5,4726009470542204109,1689847663182
1689847661000,1689847662000,6,4725951195748878108,1689847663182
1689847661000,1689847662000,8,4725520034965516743,1689847663182
1689847661000,1689847662000,9,4725529041228587918,1689847663182
1689847661000,1689847662000,10,4726021839805927576,1689847663182
1689847661000,1689847662000,11,4726100727851375123,1689847663182
1689847662000,1689847663000,1,4757893133442613248,1689847664194
1689847662000,1689847663000,3,4755568215653071804,1689847664194
1689847662000,1689847663000,4,4751158735435853065,1689847664194
1689847662000,1689847663000,5,4726009651692888974,1689847664194
1689847662000,1689847663000,6,4725951380462297998,1689847664194
1689847662000,1689847663000,8,4725520218441150919,1689847664194
1689847662000,1689847663000,9,4725529235290024012,1689847664194
1689847662000,1689847663000,10,4726022039095144175,1689847664194
1689847662000,1689847663000,11,4726100918308816668,1689847664194
1689847663000,1689847664000,1,4757893141016477696,1689847665208
1689847663000,1689847664000,3,4755568218381998611,1689847665208
1689847663000,1689847664000,4,4751158740815436307,1689847665208
1689847663000,1689847664000,5,4726009818080617965,1689847665208
1689847663000,1689847664000,6,4725951533865704562,1689847665208
1689847663000,1689847664000,8,4725520380111375322,1689847665208
1689847663000,1689847664000,9,4725529391211255732,1689847665208
1689847663000,1689847664000,10,4726022204512777254,1689847665208
1689847663000,1689847664000,11,4726101067248241019,1689847665208
1689847664000,1689847665000,1,4757893147595898880,1689847666224
1689847664000,1689847665000,3,4755568221306554747,1689847666224
1689847664000,1689847665000,4,4751158746710530579,1689847666224
1689847664000,1689847665000,5,4726010005699603115,1689847666224
1689847664000,1689847665000,6,4725951719168191147,1689847666224
1689847664000,1689847665000,8,4725520567578744149,1689847666224
1689847664000,1689847665000,9,4725529577744071490,1689847666224
1689847664000,1689847665000,10,4726022390864150528,1689847666224
1689847664000,1689847665000,11,4726101257733023213,1689847666224
1689847665000,1689847666000,1,4757893156289118208,1689847667241
1689847665000,1689847666000,3,4755568223606858638,1689847667241
1689847665000,1689847666000,4,4751158751134822248,1689847667241
1689847665000,1689847666000,5,4726010153386328671,1689847667241
1689847665000,1689847666000,6,4725951875757777442,1689847667241
1689847665000,1689847666000,8,4725520722958133931,1689847667241
1689847665000,1689847666000,9,4725529736456534850,1689847667241
1689847665000,1689847666000,10,4726022550938675276,1689847667241
1689847665000,1689847666000,11,4726101436486927428,1689847667241
1689847666000,1689847667000,1,4757893163874779136,1689847668250
1689847666000,1689847667000,3,4755568226575338458,1689847668250
1689847666000,1689847667000,4,4751158756930806670,1689847668250
1689847666000,1689847667000,5,4726010332733524954,1689847668250
1689847666000,1689847667000,6,4725952055579333973,1689847668250
1689847666000,1689847667000,8,4725520890881910253,1689847668250
1689847666000,1689847667000,9,4725529901437463211,1689847668250
1689847666000,1689847667000,10,4726022716257633470,1689847668250
1689847666000,1689847667000,11,4726101604598857121,1689847668250
1689847667000,1689847668000,1,4757893171276283904,1689847669261
1689847667000,1689847668000,3,4755568229209827404,1689847669261
1689847667000,1689847668000,4,4751158762079237158,1689847669261
1689847667000,1689847668000,5,4726010515487614566,1689847669261
1689847667000,1689847668000,6,4725952220143317447,1689847669261
1689847667000,1689847668000,8,4725521075677352088,1689847669261
1689847667000,1689847668000,9,4725530091047344659,1689847669261
1689847667000,1689847668000,10,4726022907582519220,1689847669261
1689847667000,1689847668000,11,4726101791258434067,1689847669261
1689847668000,1689847669000,1,4757893180207792128,1689847670275
1689847668000,1689847669000,3,4755568231875661005,1689847670275
1689847668000,1689847669000,4,4751158767160791799,1689847670275
1689847668000,1689847669000,5,4726010683250578167,1689847670275
1689847668000,1689847669000,6,4725952373109273638,1689847670275
1689847668000,1689847669000,8,4725521228330133580,1689847670275
