1698839804.168566, 0
1698839806.601096, 0
1698839808.974529, 8
1698839811.306470, 32
1698839813.628870, 48
1698839816.004692, 64
1698839818.302776, 88
1698839820.552004, 104
1698839822.784838, 120
1698839825.114521, 136
1698839827.343103, 160
1698839829.674632, 176
1698839831.953815, 192
1698839834.200931, 209
1698839836.349880, 232
1698839838.716490, 248
1698839841.025277, 264
1698839843.277684, 287
1698839845.654406, 304
1698839847.877312, 320
1698839850.217553, 340
1698839852.421272, 360
1698839854.732914, 376
1698839857.052429, 392
1698839859.300502, 416
1698839861.490283, 432
1698839863.767491, 448
1698839866.100799, 464
1698839868.412497, 488
1698839870.696512, 504
1698839873.040620, 520
1698839875.286533, 544
1698839877.606710, 560
1698839879.927045, 576
1698839882.209497, 594
1698839884.587635, 616
1698839886.915465, 632
1698839889.185511, 648
1698839891.347363, 672
1698839893.665853, 688
1698839895.926827, 704
1698839898.172939, 720
1698839900.435533, 744
1698839902.736593, 760
1698839905.160926, 776
1698839907.396217, 800
1698839909.748947, 816
1698839911.981949, 832
1698839914.311334, 856
1698839916.587965, 872
1698839918.927978, 888
1698839921.320316, 912
1698839923.608849, 928
1698839925.806479, 944
1698839928.069994, 960
1698839930.324816, 984
1698839932.577810, 1000
1698839934.869043, 1016
1698839937.136023, 1032
1698839939.366497, 1056
1698839941.661716, 1072
1698839943.978770, 1088
1698839946.206207, 1105
1698839948.463557, 1128
1698839950.744365, 1144
1698839953.069348, 1160
1698839955.354924, 1184
1698839957.672800, 1200
1698839960.005587, 1216
1698839962.241919, 1233
1698839964.442941, 1256
1698839966.763144, 1272
1698839969.036192, 1288
1698839971.256508, 1310
1698839973.463416, 1328
1698839975.666855, 1344
1698839977.848529, 1360
1698839980.116222, 1376
1698839982.324412, 1400
1698839984.541871, 1416
1698839986.862292, 1432
1698839989.147238, 1448
1698839991.751793, 1472
1698839994.046534, 1488
1698839996.242990, 1506
1698839998.421083, 1528
1698840000.672176, 1544
1698840003.056809, 1560
1698840005.412748, 1584
1698840007.745586, 1600
1698840010.089187, 1616
1698840012.335445, 1640
1698840014.707409, 1656
1698840017.031247, 1672
1698840019.291817, 1696
1698840021.625818, 1712
1698840023.993251, 1728
1698840026.262489, 1747
1698840028.616833, 1768
1698840030.891430, 1784
1698840033.126498, 1800
1698840035.371197, 1824
1698840037.705074, 1840
1698840039.930624, 1856
1698840042.184035, 1872
1698840044.564164, 1896
1698840046.786022, 1912
1698840049.071124, 1928
1698840051.423368, 1952
1698840053.770403, 1968
1698840056.043071, 1984
1698840058.365229, 2008
1698840060.637254, 2024
1698840062.980910, 2040
1698840065.337513, 2064
1698840067.675517, 2080
1698840069.978768, 2096
1698840072.376804, 2120
1698840074.708642, 2136
1698840076.980232, 2152
1698840079.236686, 2172
1698840081.414558, 2192
1698840083.790034, 2208
1698840086.030415, 2224
1698840088.685832, 2248
1698840090.945612, 2264
1698840093.255559, 2281
1698840095.516621, 2304
1698840097.846346, 2320
1698840100.189353, 2336
1698840102.455253, 2360
1698840104.716169, 2376
1698840106.994255, 2392
1698840109.343392, 2416
