WrappedNetworkMetrics$start:INTEGER(64 bits),WrappedNetworkMetrics$end:INTEGER(64 bits),WrappedNetworkMetrics$node_id:INTEGER(64 bits),WrappedNetworkMetrics$tBytes:INTEGER(64 bits),timestamp
1698832658000,1698832659000,11,313975939,1698832659191
1698832658000,1698832659000,7,26894157854,1698832659193
1698832658000,1698832659000,10,323134694,1698832659225
1698832659000,1698832660000,9,295900467,1698832660128
1698832659000,1698832660000,6,5841423647,1698832660139
1698832659000,1698832660000,8,16368122882,1698832660149
1698832659000,1698832660000,4,2125564868,1698832660164
1698832659000,1698832660000,5,732134320,1698832660172
1698832659000,1698832660000,7,26894159032,1698832660185
1698832659000,1698832660000,11,313977124,1698832660189
1698832659000,1698832660000,10,323135890,1698832660210
1698832660000,1698832661000,6,5841424630,1698832661137
1698832660000,1698832661000,4,2125565860,1698832661144
1698832660000,1698832661000,8,16368123767,1698832661146
1698832660000,1698832661000,11,313977870,1698832661171
1698832660000,1698832661000,7,26894159987,1698832661178
1698832660000,1698832661000,5,732135321,1698832661179
1698832660000,1698832661000,10,323136767,1698832661186
1698832660000,1698832661000,9,295901210,1698832661209
1698832661000,1698832662000,4,2125566913,1698832662121
1698832661000,1698832662000,6,5841425936,1698832662132
1698832661000,1698832662000,8,16368125154,1698832662148
1698832661000,1698832662000,7,26894161330,1698832662160
1698832661000,1698832662000,11,313979104,1698832662162
1698832661000,1698832662000,10,323138128,1698832662170
1698832661000,1698832662000,5,732136601,1698832662176
1698832661000,1698832662000,9,295902475,1698832662191
1698832662000,1698832663000,6,5841426797,1698832663130
1698832662000,1698832663000,11,313979882,1698832663134
1698832662000,1698832663000,8,16368126003,1698832663141
1698832662000,1698832663000,10,323138905,1698832663149
1698832662000,1698832663000,7,26894162194,1698832663157
1698832662000,1698832663000,5,732137552,1698832663166
1698832662000,1698832663000,9,295903208,1698832663171
1698832662000,1698832663000,4,2125567770,1698832663210
1698832663000,1698832664000,10,323139916,1698832664118
1698832663000,1698832664000,8,16368127269,1698832664131
1698832663000,1698832664000,6,5841428169,1698832664133
1698832663000,1698832664000,9,295904461,1698832664147
1698832663000,1698832664000,5,732138827,1698832664158
1698832663000,1698832664000,7,26894163490,1698832664161
1698832663000,1698832664000,4,2125568898,1698832664181
1698832663000,1698832664000,11,313980878,1698832664211
1698832664000,1698832665000,6,5841429000,1698832665121
1698832664000,1698832665000,8,16368128209,1698832665125
1698832664000,1698832665000,9,295905384,1698832665131
1698832664000,1698832665000,7,26894164354,1698832665155
1698832664000,1698832665000,5,732139642,1698832665157
1698832664000,1698832665000,4,2125569593,1698832665160
1698832664000,1698832665000,11,313981861,1698832665193
1698832664000,1698832665000,10,323140950,1698832665205
1698832665000,1698832666000,6,5841430106,1698832666128
1698832665000,1698832666000,7,26894165449,1698832666147
1698832665000,1698832666000,4,2125570720,1698832666149
1698832665000,1698832666000,5,732140851,1698832666159
1698832665000,1698832666000,11,313982604,1698832666170
1698832665000,1698832666000,10,323141833,1698832666184
1698832665000,1698832666000,9,295906327,1698832666215
1698832665000,1698832666000,8,16368129302,1698832666223
1698832666000,1698832667000,4,2125571645,1698832667119
1698832666000,1698832667000,6,5841431294,1698832667126
1698832666000,1698832667000,7,26894166568,1698832667148
1698832666000,1698832667000,5,732141880,1698832667153
1698832666000,1698832667000,11,313983813,1698832667154
1698832666000,1698832667000,10,323142973,1698832667157
1698832666000,1698832667000,9,295907411,1698832667187
1698832666000,1698832667000,8,16368130529,1698832667222
1698832667000,1698832668000,6,5841432270,1698832668120
1698832667000,1698832668000,11,313984576,1698832668122
1698832667000,1698832668000,10,323143851,1698832668123
1698832667000,1698832668000,7,26894167475,1698832668134
1698832667000,1698832668000,5,732142868,1698832668147
1698832667000,1698832668000,9,295908270,1698832668157
1698832667000,1698832668000,4,2125572741,1698832668208
1698832667000,1698832668000,8,16368131489,1698832668224
1698832668000,1698832669000,6,5841433585,1698832669119
1698832668000,1698832669000,9,295909531,1698832669122
1698832668000,1698832669000,7,26894168832,1698832669128
1698832668000,1698832669000,5,732144234,1698832669141
1698832668000,1698832669000,4,2125573811,1698832669188
1698832668000,1698832669000,11,313985809,1698832669198
1698832668000,1698832669000,10,323145123,1698832669203
1698832668000,1698832669000,8,16368132826,1698832669219
1698832669000,1698832670000,6,5841434472,1698832670118
1698832669000,1698832670000,7,26894169663,1698832670131
1698832669000,1698832670000,5,732145062,1698832670141
1698832669000,1698832670000,11,313986600,1698832670170
1698832669000,1698832670000,4,2125574541,1698832670173
1698832669000,1698832670000,10,323145989,1698832670175
1698832669000,1698832670000,9,295910434,1698832670192
1698832669000,1698832670000,8,16368133682,1698832670211
1698832670000,1698832671000,6,5841435703,1698832671122
1698832670000,1698832671000,7,26894170900,1698832671124
1698832670000,1698832671000,11,313987628,1698832671133
1698832670000,1698832671000,5,732146500,1698832671137
1698832670000,1698832671000,10,323147015,1698832671139
1698832670000,1698832671000,4,2125575751,1698832671151
1698832670000,1698832671000,9,295911523,1698832671159
1698832670000,1698832671000,8,16368135004,1698832671201
1698832671000,1698832672000,7,26894171855,1698832672119
1698832671000,1698832672000,6,5841436709,1698832672121
1698832671000,1698832672000,4,2125576459,1698832672123
1698832671000,1698832672000,9,295912519,1698832672135
1698832671000,1698832672000,5,732147371,1698832672141
1698832671000,1698832672000,8,16368135963,1698832672194
1698832671000,1698832672000,11,313988543,1698832672209
1698832671000,1698832672000,10,323148070,1698832672214
1698832672000,1698832673000,7,26894172933,1698832673123
1698832672000,1698832673000,6,5841437888,1698832673126
1698832672000,1698832673000,9,295913504,1698832673127
1698832672000,1698832673000,5,732148579,1698832673141
1698832672000,1698832673000,10,323149066,1698832673183
1698832672000,1698832673000,11,313989482,1698832673185
1698832672000,1698832673000,8,16368137086,1698832673195
1698832672000,1698832673000,4,2125577565,1698832673207
1698832673000,1698832674000,6,5841438949,1698832674124
1698832673000,1698832674000,5,732149594,1698832674143
1698832673000,1698832674000,10,323150231,1698832674148
1698832673000,1698832674000,11,313990578,1698832674149
1698832673000,1698832674000,8,16368138104,1698832674189
1698832673000,1698832674000,4,2125578355,1698832674191
1698832673000,1698832674000,9,295914632,1698832674213
1698832673000,1698832674000,7,26894174058,1698832674221
1698832674000,1698832675000,6,5841439977,1698832675118
1698832674000,1698832675000,10,323150995,1698832675122
1698832674000,1698832675000,5,732150658,1698832675137
1698832674000,1698832675000,4,2125579261,1698832675170
1698832674000,1698832675000,9,295915636,1698832675180
1698832674000,1698832675000,8,16368139065,1698832675189
1698832674000,1698832675000,11,313991344,1698832675221
1698832674000,1698832675000,7,26894175101,1698832675222
1698832675000,1698832676000,6,5841441179,1698832676125
1698832675000,1698832676000,5,732151823,1698832676129
1698832675000,1698832676000,4,2125580206,1698832676150
1698832675000,1698832676000,9,295916897,1698832676154
1698832675000,1698832676000,8,16368140327,1698832676185
1698832675000,1698832676000,11,313992606,1698832676196
1698832675000,1698832676000,10,323152326,1698832676206
1698832675000,1698832676000,7,26894176347,1698832676216
1698832676000,1698832677000,5,732152781,1698832677120
1698832676000,1698832677000,9,295917680,1698832677122
1698832676000,1698832677000,6,5841442142,1698832677125
1698832676000,1698832677000,4,2125581048,1698832677138
1698832676000,1698832677000,11,313993298,1698832677176
1698832676000,1698832677000,10,323153083,1698832677186
1698832676000,1698832677000,8,16368141144,1698832677188
1698832676000,1698832677000,7,26894177291,1698832677206
1698832677000,1698832678000,6,5841443482,1698832678117
1698832677000,1698832678000,5,732153988,1698832678124
1698832677000,1698832678000,11,313994356,1698832678157
1698832677000,1698832678000,10,323154201,1698832678170
1698832677000,1698832678000,8,16368142590,1698832678190
1698832677000,1698832678000,7,26894178609,1698832678192
1698832677000,1698832678000,9,295918966,1698832678193
1698832677000,1698832678000,4,2125582255,1698832678224
1698832678000,1698832679000,5,732154871,1698832679118
1698832678000,1698832679000,11,313995247,1698832679132
1698832678000,1698832679000,10,323155077,1698832679146
1698832678000,1698832679000,9,295919792,1698832679161
1698832678000,1698832679000,8,16368143433,1698832679183
1698832678000,1698832679000,7,26894179392,1698832679185
1698832678000,1698832679000,4,2125583032,1698832679213
1698832678000,1698832679000,6,5841444380,1698832679221
1698832679000,1698832680000,5,732156239,1698832680123
1698832679000,1698832680000,11,313996262,1698832680127
1698832679000,1698832680000,9,295920884,1698832680134
1698832679000,1698832680000,10,323156093,1698832680135
1698832679000,1698832680000,8,16368144706,1698832680175
1698832679000,1698832680000,7,26894180769,1698832680183
1698832679000,1698832680000,4,2125584282,1698832680192
1698832679000,1698832680000,6,5841445768,1698832680221
1698832680000,1698832681000,4,2125585039,1698832681166
1698832680000,1698832681000,8,16368145747,1698832681178
1698832680000,1698832681000,7,26894181638,1698832681185
1698832680000,1698832681000,9,295921993,1698832681205
1698832680000,1698832681000,11,313997265,1698832681208
1698832680000,1698832681000,6,5841446600,1698832681224
1698832680000,1698832681000,10,323157139,1698832681227
1698832680000,1698832681000,5,732157159,1698832681229
1698832681000,1698832682000,5,732158301,1698832682120
